foodid,food_name,unit,kal,select_time
1,大麥仁,100g,362,0
2,大麥片,100g,365,0
3,大麥仁粉,100g,389,0
4,麥茶,100g,18,0
5,小米,100g,370,0
6,糯小米,100g,360,0
7,小麥,100g,362,0
8,小麥胚芽,100g,417,0
9,去筋麵粉,100g,355,0
10,低筋麵粉,100g,364,0
11,中筋麵粉,100g,361,0
12,高筋麵粉,100g,362,0
13,全麥麵粉,100g,359,0
14,雜糧中筋麵粉,100g,361,0
15,雜糧高筋麵粉,100g,360,0
16,水餃皮,100g,264,0
17,春捲皮,100g,241,0
18,餛飩皮,100g,271,0
19,乾麵條,100g,357,0
20,油麵條,100g,361,0
21,紅蘿蔔麵,100g,352,0
22,通心麵,100g,359,0
23,菠菜條,100g,356,0
24,鍋燒意麵,100g,479,0
25,雞蛋麵,100g,358,0
26,刀削麵,100g,267,0
27,拉麵,100g,292,0
28,意麵,100g,290,0
29,衛生油麵,100g,163,0
30,金門黃麵,100g,158,0
31,冷凍烏龍麵,100g,126,0
32,鍋燒麵,100g,120,0
33,長麵線,100g,310,0
34,蚵仔麵線,100g,307,0
35,麵線,100g,350,0
36,雞絲麵,100g,463,0
37,麵筋,100g,643,0
38,麵腸,100g,138,0
39,白玉米,100g,66,0
40,紫玉米,100g,168,0
41,甜玉米,100g,107,0
42,雙色水果玉米,100g,105,0
43,糯玉米,100g,172,0
44,冷凍玉米粒,100g,174,0
45,玉米筍,100g,31,0
46,乾玉米粒,100g,373,0
47,玉米胚芽,100g,366,0
48,玉米粉,100g,369,0
49,玉米粒罐頭,100g,90,0
50,玉米醬罐頭,100g,66,0
51,秈米平均值,100g,357,0
52,秈米(台中在來2號),100g,355,0
53,秈米(台中秈10號),100g,358,0
54,粳米平均值,100g,354,0
55,粳米(台中189號),100g,356,0
56,粳米(台南11號),100g,348,0
57,粳米(台粳2號),100g,357,0
58,粳米(台粳8號),100g,355,0
59,粳米(台粳9號),100g,353,0
60,粳米(台農71號),100g,357,0
61,粳米(高雄139號),100g,357,0
62,粳米(高雄142號),100g,353,0
63,粳米(高雄145號),100g,364,0
64,越光米,100g,340,0
65,白秈糯米(台中糯70號秈米),100g,361,0
66,白粳糯米平均值,100g,358,0
67,白粳糯米(台中189號粳米),100g,359,0
68,白粳糯米(台粳糯1號粳米),100g,358,0
69,野生紅米,100g,360,0
70,紅糯米,100g,362,0
71,黑秈糯米,100g,357,0
72,胚芽秈米(台中秈10號),100g,363,0
73,胚芽粳米平均值,100g,362,0
74,胚芽粳米(台粳10號）,100g,360,0
75,胚芽粳米(台粳9號),100g,363,0
76,發芽粳米平均值,100g,355,0
77,發芽粳米(台粳71號),100g,357,0
78,發芽粳米(台粳9號）,100g,353,0
79,糙秈米,100g,359,0
80,糙粳米平均值,100g,362,0
81,糙粳米(台粳71號),100g,360,0
82,糙粳米(台粳9號),100g,364,0
83,加鈣米,100g,355,0
84,高纖米,100g,363,0
85,五穀米,100g,358,0
86,米胚芽,100g,391,0
87,秈米粉,100g,363,0
88,糙米粉,100g,393,0
89,白糯米粉,100g,360,0
90,米粉平均值,100g,366,0
91,埔里米粉,100g,358,0
92,細米粉,100g,355,0
93,濁水米粉,100g,357,0
94,米粄條,100g,129,0
95,米苔目,100g,121,0
96,粿仔條,100g,193,0
97,免煮飯,100g,168,0
98,白飯,100g,183,0
99,米漿(散裝),100g,62,0
100,保久米漿,100g,62,0
101,糙米漿,100g,71,0
102,糙秈米漿,100g,68,0
103,糯米漿,100g,51,0
104,黑糯米漿,100g,50,0
105,高梁,100g,372,0
106,糯高梁,100g,362,0
107,黑麥片,100g,359,0
108,黑麥汁,100g,52,0
109,燕麥,100g,406,0
110,燕麥片,100g,393,0
111,即食燕麥片,100g,406,0
112,燕麥奶,100g,44,0
113,蕎麥,100g,361,0
114,蕎麥麵(乾),100g,355,0
115,蕎麥麵(濕),100g,155,0
116,薏仁,100g,378,0
117,糙薏仁,100g,387,0
118,薏仁粉,100g,395,0
119,紅藜,100g,379,0
120,淮山,100g,363,0
121,山藥平均值,100g,87,0
122,山藥(二刺),100g,89,0
123,山藥(大汕1號),100g,80,0
124,山藥(大汕3號),100g,73,0
125,山藥(大刺),100g,85,0
126,山藥(中國長品),100g,74,0
127,山藥(台農1號),100g,93,0
128,山藥(台農2號),100g,95,0
129,山藥(白皮削),100g,75,0
130,山藥(尖石原生種),100g,65,0
